COORD_REF_SYS_CODE,COORD_REF_SYS_NAME,AREA_OF_USE_CODE,COORD_REF_SYS_KIND,COORD_SYS_CODE,DATUM_CODE,BASE_CRS_CODE,PROJECTION_CONV_CODE,CMPD_HORIZCRS_CODE,CMPD_VERTCRS_CODE,CRS_SCOPE,REMARKS,INFORMATION_SOURCE,DATA_SOURCE,REVISION_DATE,CHANGE_ID,SHOW_CRS,DEPRECATED
2000,"Anguilla 1957 / British West Indies Grid",,"projected",4400,,4600,19942,,,,,"Ordnance Survey of Great Britain","EPSG","03/07/00 00:00:00","1999.740",1,0
2001,"Antigua 1943 / British West Indies Grid",,"projected",4400,,4601,19942,,,,,"Ordnance Survey of Great Britain","EPSG","03/07/00 00:00:00","1999.740",1,0
2041,"Abidjan 1987 / UTM zone 30N",,"projected",4400,,4143,16030,,,,"Replaces Locodjo 65 / UTM 30N (EPSG code 2040).","IGN Paris","EPSG","03/07/00 00:00:00","1999.740",1,0
2043,"Abidjan 1987 / UTM zone 29N",,"projected",4400,,4143,16029,,,,"Replaces Locodjo 65 / UTM 29N (EPSG code 2042).","IGN Paris","EPSG","03/07/00 00:00:00","1999.740",1,0
2136,"Accra / Ghana National Grid",,"projected",4404,,4168,19959,,,,"Ellipsoid semi-major axis (a)=20926201 Gold Coast feet. ProjCRS sometimes found in metric form: 1 Gold Coast foot = 0.3047997101815 m.
Replaced by Leigon / Ghana Metric Grid from 1978.","Ordnance Survey International","EPSG","10/19/00 00:00:00",,1,0
2137,"Accra / TM 1 NW",,"projected",4400,,4168,17001,,,,,"Various oil industry sources","EPSG","10/19/00 00:00:00",,1,0
2155,"American Samoa 1962 / American Samoa Lambert",,"projected",4497,,4169,15300,,,,"Superseded by projCRS 2156 as of mid-2000.","US National Geodetic Survey (NGS) http://www.ngs.noaa.gov/","EPSG","10/19/00 00:00:00",,1,1
2165,"Abidjan 1987 / TM 5 NW",,"projected",4400,,4143,17005,,,,,"Various oil industry sources","EPSG","06/05/01 00:00:00",,1,0
2194,"American Samoa 1962 / American Samoa Lambert",,"projected",4497,,4169,15301,,,,"Superseded by projCRS 2156 as of mid-2000.","US National Geodetic Survey (NGS) http://www.ngs.noaa.gov/","EPSG","08/28/01 00:00:00",,1,1
2199,"Albanian 1987 / Gauss Kruger zone 4",,"projected",4530,,4191,16204,,,,,"EuroGeographics; http://crs.bkg.bund.de/crs-eu/","EPSG","11/06/01 00:00:00",,1,1
2296,"Ammassalik 1958 / Greenland zone 7 east",,"projected",1031,,4196,18427,,,,"Historically also found with coordinate system axis abbreviations N/E (CS code 4501); second axis has abbreviation E but is positive to the west.","Kort & Matrikelstyrelsen, Copenhagen.","EPSG","02/13/12 00:00:00","2006.220 2011.085",1,0
2318,"Ain el Abd / Aramco Lambert",,"projected",4400,,4204,19977,,,,"Used by Saudi Aramco when area of interest crosses UTM zone boundary. Adopted by partners for Core Venture 1 (South Ghawar) area.","Saudi Aramco","EPSG","02/12/02 00:00:00",,1,0
