EXTENT_CODE,EXTENT_NAME,EXTENT_DESCRIPTION,BBOX_SOUTH_BOUND_LAT,BBOX_WEST_BOUND_LON,BBOX_NORTH_BOUND_LAT,BBOX_EAST_BOUND_LON,ISO_A2_CODE,ISO_A3_CODE,ISO_N_CODE,VERTICAL_EXTENT_MIN,VERTICAL_EXTENT_MAX,VERTICAL_EXTENT_CRS_CODE,TEMPORAL_EXTENT_BEGIN,TEMPORAL_EXTENT_END,REMARKS,INFORMATION_SOURCE,DATA_SOURCE,REVISION_DATE,CHANGE_ID,DEPRECATED
1024,"Afghanistan","Afghanistan.",2.9399999999999999e+01,6.0500000000000000e+01,3.8479999999999997e+01,7.4920000000000002e+01,"AF","AFG",4,,,,,,,"ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso","EPSG","05/01/14 00:00:00","2002.341 2012.040 2014.025",0
1025,"Albania","Albania - onshore and offshore.",3.9630000000000003e+01,1.8460000000000001e+01,4.2670000000000002e+01,2.1059999999999999e+01,"AL","ALB",8,,,,,,,"ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso","EPSG","05/01/14 00:00:00","2002.341 2005.890 2011.095 2014.025",0
1026,"Algeria","Algeria - onshore and offshore.",1.8969999999999999e+01,-8.6699999999999999e+00,3.8799999999999997e+01,1.1990000000000000e+01,"DZ","DZA",12,,,,,,,"ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso","EPSG","05/01/14 00:00:00","2002.341 2005.890 2012.049 2014.025",0
1027,"American Samoa","American Samoa - onshore and offshore.",-1.7559999999999999e+01,-1.7375000000000000e+02,-1.0020000000000000e+01,-1.6519999999999999e+02,"AS","ASM",16,,,,,,,"ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso","EPSG","07/27/11 00:00:00","2002.341 2005.890 2011.068",0
1028,"Andorra","Andorra.",4.2430000000000000e+01,1.4199999999999999e+00,4.2659999999999997e+01,1.7900000000000000e+00,"AD","AND",20,,,,,,,"ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso","EPSG","05/01/14 00:00:00","2002.341 2011.095 2014.025",0
1029,"Angola","Angola - onshore and offshore.",-1.8020000000000000e+01,8.1999999999999993e+00,-4.3799999999999999e+00,2.4090000000000000e+01,"AO","AGO",24,,,,,,,"ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso","EPSG","05/01/14 00:00:00","2002.341 2005.890 2012.042 2014.025",0
1030,"Anguilla","Anguilla - onshore and offshore.",1.7940000000000001e+01,-6.3899999999999999e+01,2.1930000000000000e+01,-6.0680000000000000e+01,"AI","AIA",660,,,,,,,"ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso","EPSG","05/01/14 00:00:00","2002.341 2005.890 2011.068 2014.025",0
1031,"Antarctica","Antarctica.",-9.0000000000000000e+01,-1.8000000000000000e+02,-6.0000000000000000e+01,1.8000000000000000e+02,"AQ","ATA",10,,,,,,,"ISO 3166 Maintenance Agency.  ftp://ftp.fu-berlin.de/pub/doc/iso","EPSG","06/22/02 00:00:00","2002.341",0
1271,"Africa - Eritrea, Ethiopia, South Sudan and Sudan","Eritrea; Ethiopia; South Sudan; Sudan.",3.3999999999999999e+00,2.1820000000000000e+01,2.2239999999999998e+01,4.7990000000000002e+01,,,,,,,,,,"OGP","EPSG","01/14/19 00:00:00","2002.810 2012.001 2014.024 2018.064",0
1276,"Africa - Botswana, Malawi, Zambia, Zimbabwe","Botswana; Malawi; Zambia; Zimbabwe.",-2.6879999999999999e+01,1.9989999999999998e+01,-8.1899999999999995e+00,3.5930000000000000e+01,,,,,,,,,,"OGP","EPSG","05/01/14 00:00:00","2014.024",0
